input,output
correct: پہلوان نے کشتی کے مقابلے میں جیت حاصل,پہلوان نے کشتی کے مقابلے میں جیت حاصل کی
correct: ابو نے مجے پیسے دیے,ابو نے مجھے پیسے دیے
correct: مینیجر صبح آج نے ٹیم میٹنگ بلائی,مینیجر نے آج صبح ٹیم میٹنگ بلائی
correct: رات کو بجلی جانے کی کی وجہ سے پنکھا بند ہو گیا,رات کو بجلی جانے کی وجہ سے پنکھا بند ہو گیا
correct: مقابلے میں روانہ کے لیے ٹیم کل شرکت ہوگی,مقابلے میں شرکت کے لیے ٹیم کل روانہ ہوگی
correct: شاعر نے مشاعرے میں اپنی تازہ ترین غزل سنایا,شاعر نے مشاعرے میں اپنی تازہ ترین غزل سنائی
correct: چھوٹی بہن نے اپنے کمرے صفائی خود کی,چھوٹی بہن نے اپنے کمرے کی صفائی خود کی
correct: مینیجر نے نے رپورٹ کا جائزہ لیا,مینیجر نے رپورٹ کا جائزہ لیا
correct: ہم نے فائل مینیجر جمع کرائی,ہم نے فائل مینیجر کو جمع کرائی
correct: آپ کی درخواست پر غور غور کیا جا رہا ہے,آپ کی درخواست پر غور کیا جا رہا ہے
correct: آن لائن آرڈر آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے,آن لائن آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے
correct: کلاسیں شروع ہونے سے رہے تھے پہلے بچے کھیل,کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تھے
correct: معروف ادیب کی نئی کتاب منظر عام عام پر آ گئی,معروف ادیب کی نئی کتاب منظر عام پر آ گئی
correct: آمد کا لذیذ پینے میں بہت شیک تھا,آمد کا شیک پینے میں بہت لذیذ تھا
correct: ہم نے ہوٹل میں کھانا کھایا کھانا,ہم نے ہوٹل میں کھانا کھایا
correct: میں نے اسے پانی دیا وہ پیاسا تھی,میں نے اسے پانی دیا وہ پیاسا تھا
correct: رپورٹ کو میں نے جلدی مکمل کیا آج صبح,میں نے آج صبح رپورٹ جلدی مکمل کی
correct: ہم نے سیر کی صبح پارک,ہم نے صبح پارک میں سیر کی
correct: امی نے عید میٹھی سویاں پکائیں,امی نے عید پر میٹھی سویاں پکائیں
correct: ہوا سیلاب شدید پنجاب کے علاقوں میں,پنجاب کے علاقوں میں شدید سیلاب ہوا
correct: میں نے AI پراجیکٹ بنایا بنایا,میں نے AI پراجیکٹ بنایا
correct: طلبہ نے سائنس فیئر میں مختلف پیش کیے پراجیکٹس,طلبہ نے سائنس فیئر میں مختلف پراجیکٹس پیش کیے
correct: ہوٹل کے کھانے میں مصالحہ تیز تھا بہت,ہوٹل کے کھانے میں مصالحہ بہت تیز تھا
correct: وہ پہاڑوں کی چوٹی تک کے گیا ٹریکنگ کر,وہ پہاڑوں کی چوٹی تک ٹریکنگ کر کے گیا
correct: ابو کا مزاج آج ٹھیک نہیں ہیں,ابو کا مزاج آج ٹھیک نہیں ہے
correct: معروف ادیب کی کی نئی کتاب منظر عام پر آ گئی,معروف ادیب کی نئی کتاب منظر عام پر آ گئی
correct: وہ پہنچ گیا وقت پر شادی میں,وہ شادی میں وقت پر پہنچ گیا
correct: بہن نے شام کی چائے چائے کے ساتھ سموسے بنائے,بہن نے شام کی چائے کے ساتھ سموسے بنائے
correct: گاہک خراب سامان واپس کرنے کی درخواست کی,گاہک نے خراب سامان واپس کرنے کی درخواست کی
correct: میرا پسندیدہ رنگ ہے نیلا بہت,نیلا رنگ مجھے بہت پسند ہے
correct: پھلوں کا رس پینے محسوس بہت تازگی میں ہوتی ہے,پھلوں کا رس پینے میں بہت تازگی محسوس ہوتی ہے
correct: قلعہ روہتاس کی دیواروں پر پرانے دور لکھائی تھی,قلعہ روہتاس کی دیواروں پر پرانے دور کی لکھائی تھی
correct: شاعرہ نے اپنی اپنی غزل کو نہایت خوبصورتی سے پیش کیا,شاعرہ نے اپنی غزل کو نہایت خوبصورتی سے پیش کیا
correct: ہوٹل میں کھانے کے مصالحہ بہت تیز تھا,ہوٹل کے کھانے میں مصالحہ بہت تیز تھا
correct: ہم نے تھیٹر میں ایک ایک نیا اسٹیج ڈراما دیکھا,ہم نے تھیٹر میں ایک نیا اسٹیج ڈراما دیکھا
correct: ہم نے سموسہ اور پکوڑا کھائی,ہم نے سموسے اور پکوڑے کھائے
correct: ہو رہا ہے مقابلہ دلچسپ بہت,مقابلہ بہت دلچسپ ہو رہا ہے
correct: ہم نے لیب میں تجربہ کیا تھا اور اس کا نتیجہ اچھا آیا تھا,ہم نے لیب میں تجربہ کیا اور اچھا نتیجہ آیا
correct: میراتھن دوڑ میں پانچ پانچ سو کھلاڑیوں نے حصہ لیا,میراتھن دوڑ میں پانچ سو کھلاڑیوں نے حصہ لیا
correct: ہم ہم نے رپورٹ جمع کرائی,ہم نے رپورٹ جمع کرائی
correct: ہم نے دیکھا لیکچر استاد کا آن لائن,ہم نے آن لائن استاد کا لیکچر دیکھا
correct: محکمہ تعلیم نے نئے نئے امتحانی شیڈول کا اعلان کیا,محکمہ تعلیم نے نئے امتحانی شیڈول کا اعلان کیا
correct: نمائش میں رکھی گئی مجسمے بہت قیمتی تھا,نمائش میں رکھے گئے مجسمے بہت قیمتی تھے
correct: دادی اماں نے ہمیں پرانی کہانی سنایا,دادی اماں نے ہمیں پرانی کہانی سنائی
correct: فلائنگ کوچ نے اسلام آباد سے سکردو تک کا سفر آسان کر دیہا,فلائنگ کوچ نے اسلام آباد سے سکردو تک کا سفر آسان کر دیا
correct: دادی اماں نے ہمیں کہانی سنائی پرانی,دادی اماں نے ہمیں پرانی کہانی سنائی
correct: ہمارے گھر کے سامنے ایک خوبصورت خوبصورت باغ ہے,ہمارے گھر کے سامنے ایک خوبصورت باغ ہے
correct: کھانے میں دہی کا اچھا بہت رائتہ لگتا ہے,کھانے میں دہی کا رائتہ بہت اچھا لگتا ہے
correct: سیاحوں نے گلیشیئر کے نیلے پانی کا حیرت انگیز نظارہ کیا صبح کے وقت,سیاحوں نے صبح کے وقت گلیشیئر کے نیلے پانی کا حیرت انگیز نظارہ کیا
correct: وہ روزانہ شام کو پارک پارک میں سیر کرنے جاتا ہے,وہ روزانہ شام کو پارک میں سیر کرنے جاتا ہے
correct: مارکیٹنگ ٹیم نے نئی مہم کا کا آغاز کر دیا,مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا
correct: نمائش میں رکھی گئی تھیں خوبصورت تصویریں دیواروں پر,نمائش میں خوبصورت تصویریں دیواروں پر رکھی گئی تھیں
correct: فٹبال میچ کے بعد کھلاڑیوں نے ایک ایک دوسرے سے مصافحہ کیا,فٹبال میچ کے بعد کھلاڑیوں نے ایک دوسرے سے مصافحہ کیا
correct: کل کے کنسرٹ میں ہزاروں لوگ موجود تھا,کل کے کنسرٹ میں ہزاروں لوگ موجود تھے
correct: میرا آنکھیں بہت تھکی ہوئی ہے,میری آنکھیں بہت تھکی ہوئی ہیں
correct: وکیل نے عدالت میں بات کیا تھا,وکیل نے عدالت میں بات کی تھی
correct: کھلاڑیوں نے کی محنت بہت جیتنے کے لیے اور کامیاب ہوئے,کھلاڑیوں نے جیتنے کے لیے بہت محنت کی اور کامیاب ہوئے
correct: میں نے کام کیا اور تھکا ہوا تھا,میں نے کام کیا اور تھک گیا
correct: اس نے لایا پھول خوبصورت باغ سے,اس نے باغ سے خوبصورت پھول لائے
correct: گھر میں آج پانی کا پریشر بہت کم تہا,گھر میں آج پانی کا پریشر بہت کم تھا
correct: آپ کا گھر کہاں پر واقع ہے ہے؟,آپ کا گھر کہاں واقع ہے؟
correct: فٹ بالر نے خوبصورت خوبصورت گول کیا,فٹ بالر نے خوبصورت گول کیا
correct: کلاسیں شروع شروع ہونے سے پہلے بچے کھیل رہے تھے,کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تھے
correct: سیاحوں نے پہاڑ پر چڑھ کر تصویر لیا,سیاحوں نے پہاڑ پر چڑھ کر تصویر لی
correct: کھانے لگتا ہے میں دہی کا رائتہ بہت اچھا,کھانے میں دہی کا رائتہ بہت اچھا لگتا ہے
correct: میں نے جنریٹو اے آئی کورس کیا تھا اور وہ بہت اچھا کورس تھا میرے لیے,میں نے جنریٹو اے آئی کورس کیا جو میرے لیے بہت اچھا تھا
correct: نیٹ مظاہرہ کیا بال ٹیم نے شاندار دفاع کا,نیٹ بال ٹیم نے شاندار دفاع کا مظاہرہ کیا
correct: حکومت نے لگائی پابندی,حکومت نے پابندی لگائی
correct: میں میں نے ای میل بھیج دی ہے,میں نے ای میل بھیج دی ہے
correct: بارش موسمیات نے محکمہ کی پیشگوئی کر دی,محکمہ موسمیات نے بارش کی پیشگوئی کر دی
correct: میں نے کل بہت زیادہ کام کیا تھا اور مجھے آرام کا وقت نہیں ملا تھا بالکل,میں نے کل بہت زیادہ کام کیا اور مجھے بالکل آرام کا وقت نہیں ملا
correct: امریکہ نے لگائی پابندیاں ایران پر,امریکہ نے ایران پر پابندیاں لگائیں
correct: ہم نے ہم نے دفتر کو اطلاع دی,ہم نے دفتر کو اطلاع دی
correct: تھیٹر آرٹسٹوں نے کیا پرفارمنس,تھیٹر آرٹسٹوں نے پرفارمنس کیا
correct: ہسپتال انتظامیہ نے نئی منظوری دی مشینری خریدنے کی,ہسپتال انتظامیہ نے نئی مشینری خریدنے کی منظوری دی
correct: یہ فلم ایک حقیقی واقعے پر مبنی ہے اور بہت متاثر کن ہے,یہ فلم ایک حقیقی واقعے پر مبنی اور متاثر کن ہے
correct: اولمپکس میں کھلاڑیوں کارکردگی شاندار نے دکھائی,اولمپکس میں کھلاڑیوں نے شاندار کارکردگی دکھائی
correct: بھارت نے پاکستان پر تنقید کی ہیں,بھارت نے پاکستان پر تنقید کی ہے
correct: مریض کو دوا دی گئی اور اس کو آرام آیا فوراً,مریض کو دوا دی گئی اور اسے فوراً آرام آیا
correct: سیلاب زدہ علاقوں میں جاری کارروائیاں امدادی ہیں,سیلاب زدہ علاقوں میں امدادی کارروائیاں جاری ہیں
correct: دیکھا میچ دلچسپ بہت دوست کے ساتھ,دوست کے ساتھ بہت دلچسپ میچ دیکھا
correct: یہ موبائل فون رکھتا ہے بہترین بیٹری لائف,یہ موبائل فون بہترین بیٹری لائف رکھتا ہے
correct: وہ گرمیوں میں کراچی کے ساحل گھومنے گیا,وہ گرمیوں میں کراچی کے ساحل پر گھومنے گیا
correct: نے وی چینل ٹی نیا تفریحی شو شروع کیا,ٹی وی چینل نے نیا تفریحی شو شروع کیا
correct: کارروائیاں زدہ علاقوں میں امدادی سیلاب جاری ہیں,سیلاب زدہ علاقوں میں امدادی کارروائیاں جاری ہیں
correct: وہ کپڑے استری کر کے الماری رکھتی ہے,وہ کپڑے استری کر کے الماری میں رکھتی ہے
correct: ہم نے کل نئی فلم دیکھی ہیں,ہم نے کل نئی فلم دیکھی ہے
correct: محکمہ تعلیم اعلان کیا نے نئے امتحانی شیڈول کا,محکمہ تعلیم نے نئے امتحانی شیڈول کا اعلان کیا
correct: ہمارے گھر کے باہر نیم کا درخت ہیں,ہمارے گھر کے باہر نیم کا درخت ہے
correct: کل ہم نے مل کر کھانا کھایا ساتھ بیٹھ کر,کل ہم نے مل کر کھانا کھایا
correct: ہم نے ڈیٹا ویری فائی کیا,ہم نے ڈیٹا ویریفائی کیا
correct: سیاحوں نے ساحل سمندر پر غروب آفتاب کا بہت شاندار خوبصورت نظارہ کیا,سیاحوں نے ساحل سمندر پر غروب آفتاب کا شاندار نظارہ کیا
correct: بینک میں نے شرح سود دولت اضافے کا اعلان کیا,بینک دولت نے شرح سود میں اضافے کا اعلان کیا
correct: میں نے ناشتہ کھایا اسکول,میں نے اسکول جانے سے پہلے ناشتہ کھایا
correct: وہ چلا گیا اور روانہ ہو گیا,وہ چلا گیا
correct: سیاح بس اتر کر تصاویر بنائے,سیاح بس سے اتر کر تصاویر بناتے رہے
correct: بورڈ آف منظوری نے توسیع کی ڈائریکٹرز دے دی,بورڈ آف ڈائریکٹرز نے توسیع کی منظوری دے دی
correct: امی نے مہمانوں کے لیے بریانی اور قورمہ پکائی,امی نے مہمانوں کے لیے بریانی اور قورمہ پکایا
correct: مہمانوں کے لیے قورمہ اور نان کا اہتمام کیا کیا گیا,مہمانوں کے لیے قورمہ اور نان کا اہتمام کیا گیا
correct: آج آندھی آئی اور تیز طوفان آیا,آج آندھی آئی
correct: یہ کتاب ادب کے طالب علموں کے لیے بہت مفید ثابت ہوتی ہے,یہ کتاب ادب کے طالب علموں کے لیے مفید ثابت ہوتی ہے
correct: میں نے سموسے کھایا اور خوش تھا,میں نے سموسے کھائے اور خوش تھا
correct: قدرتی مناظر نے دل بہت سکون دیا,قدرتی مناظر نے دل کو بہت سکون دیا
correct: بہن نے شام سموسے بنائے کی چائے کے ساتھ,بہن نے شام کی چائے کے ساتھ سموسے بنائے
correct: مینیجر نے ڈیٹا دیکھا رپورٹ مکمل,مینیجر نے مکمل رپورٹ کا ڈیٹا دیکھا
correct: کالج میں سالانہ کہیلوں کے مقابلے منعقد کیے گئے,کالج میں سالانہ کھیلوں کے مقابلے منعقد کیے گئے
correct: آپ آپ کو اطلاع دی جاتی ہے,آپ کو اطلاع دی جاتی ہے
correct: پڑھائی میں مستقل مزاجی کنجی ہے کامیابی کی,پڑھائی میں مستقل مزاجی کامیابی کی کنجی ہے
correct: اس کمپنی مصنوعات کی کوالٹی بہت اچھی ہے,اس کمپنی کی مصنوعات کی کوالٹی بہت اچھی ہے
correct: برانڈڈ گھڑیوں پر دیا فیصد ڈسکاؤنٹ دس جا رہا ہے,برانڈڈ گھڑیوں پر دس فیصد ڈسکاؤنٹ دیا جا رہا ہے
correct: طلبہ کو امتحان دیے گئے کی تیاری کے لیے اضافی نوٹس,طلبہ کو امتحان کی تیاری کے لیے اضافی نوٹس دیے گئے
correct: نیٹ بال ٹیم شاندار دفاع کا مظاہرہ کیا,نیٹ بال ٹیم نے شاندار دفاع کا مظاہرہ کیا
correct: میں نے آرام کیا اور جسم کو محسوس ہوا سکون,میں نے آرام کیا اور جسم کو سکون محسوس ہوا
correct: تھانیدار نے واقعے کی رپورٹ فوری طور پر درج کیا,تھانیدار نے واقعے کی رپورٹ فوری طور پر درج کی
correct: ہم نے کام تقسیم کیا ٹیم میں,ہم نے ٹیم میں کام تقسیم کیا
correct: ہم نے پہاڑوں کے درمیان موجود چھوٹے سے گاؤں کا دورہ کیا خوبصورتی سے,ہم نے پہاڑوں کے درمیان گاؤں کا دورہ کیا
correct: سوز خوانی کی محفل نے روح کو کو معطر کر دیا,سوز خوانی کی محفل نے روح کو معطر کر دیا
correct: سرحد پر دہشت گردی کا واقعہ پیش آیا جو کہ افسوسناک ہے,سرحد پر دہشت گردی کا واقعہ پیش آیا
correct: ہم نے سیکھا نیا ٹاپک کلاس میں,ہم نے کلاس میں نیا ٹاپک سیکھا
correct: سیاح بس میں سفر کر رہی تھا,سیاح بس میں سفر کر رہا تھا
correct: ریسرچ ٹیم نے مارکیٹ کا تفصیلی تجزیہ پیش کی,ریسرچ ٹیم نے مارکیٹ کا تفصیلی تجزیہ پیش کیا
correct: میری امی گھر میں ہیں اور موجود ہیں,میری امی گھر میں ہیں
correct: آج رات پوری پوری رات جاگا,آج رات پوری رات جاگا
correct: وکیل نے عدالت گواہ سوالات کیے,وکیل نے عدالت میں گواہوں سے سوالات کیے
correct: وہ اپنے کپڑے خود دھوتی دھوتی ہے,وہ اپنے کپڑے خود دھوتی ہے
correct: مجے آج سکول جانا ہے,مجھے آج سکول جانا ہے
correct: برانڈڈ گھڑیوں پر رہا فیصد ڈسکاؤنٹ دیا جا دس ہے,برانڈڈ گھڑیوں پر دس فیصد ڈسکاؤنٹ دیا جا رہا ہے
correct: گلوکار نے اپنی اپنی البم میں بہترین گانے شامل کیے,گلوکار نے اپنی البم میں بہترین گانے شامل کیے
correct: وہ آیا دفتر وقت,وہ دفتر وقت پر آیا
correct: سیاح ساحل سورج غروب دیکھا,سیاحوں نے ساحل پر سورج غروب دیکھا
correct: میں نے پکڑا ہاتھ اس کا گرنے سے بچانے کو,میں نے اسے گرنے سے بچانے کو اس کا ہاتھ پکڑا
correct: کیمسٹری کے استاد نے سے سمجھایا دوری جدول کو تفصیل,کیمسٹری کے استاد نے دوری جدول کو تفصیل سے سمجھایا
correct: شہر میں ٹریفک حادثے میں پانچ افراد زخمی ہو گئیں,شہر میں ٹریفک حادثے میں پانچ افراد زخمی ہو گئے
correct: میں نے کھیر کھائی رات,میں نے رات کو کھیر کھائی
correct: میں نے اسائنمنٹ لکھا لکھا,میں نے اسائنمنٹ لکھا
correct: دفتر میں آج نیا سافٹ ویئر کیا گیا انسٹال,دفتر میں آج نیا سافٹ ویئر انسٹال کیا گیا
correct: گھر آج پانی کا پریشر بہت کم تھا,گھر میں آج پانی کا پریشر بہت کم تھا
correct: یہ ڈراما زندگی مختلف پہلو دکھاتا ہے,یہ ڈراما زندگی کے مختلف پہلو دکھاتا ہے
correct: وادی میں موسم بہت خوشگوار تھا تھا,وادی میں موسم بہت خوشگوار تھا
correct: بچیوں نے کھانا کھایا اور باہر کھیلنے گئی,بچیاں کھانا کھا کر باہر کھیلنے گئیں
correct: شاعر نے اپنی نظم میں علامتی اور استعاراتی زبان کا استعمال کیا,شاعر نے اپنی نظم میں زبان کا استعمال کیا
correct: وکیل وکیل نے عدالت میں بات کی,وکیل نے عدالت میں بات کی
correct: مریض کو مناسب علاج دیا گیا گیا,مریض کو مناسب علاج دیا گیا
correct: ایچ آر ڈیپارٹمنٹ نے انٹرویوز سلسلہ شروع کیا,ایچ آر ڈیپارٹمنٹ نے انٹرویوز کا سلسلہ شروع کیا
correct: میراتھن دوڑ میں پانچ حصہ لیا سو کھلاڑیوں نے,میراتھن دوڑ میں پانچ سو کھلاڑیوں نے حصہ لیا
correct: میں نے لکھا خط کل,میں نے کل خط لکھا
correct: میں نے دیکھا منظر اور خوش ہوا تھا,میں نے منظر دیکھا اور خوش ہوا
correct: مقامی لوگوں سیاحوں کا گرمجوشی سے استقبال کیا,مقامی لوگوں نے سیاحوں کا گرمجوشی سے استقبال کیا
correct: ہم نے فلم دیکھا کل رات دیر سے,ہم نے کل رات دیر سے فلم دیکھی
correct: میں نے کل کل دوست کو فون فون کیا,میں نے کل دوست کو فون کیا
correct: سوز خوانی کی محفل کر دیا نے روح کو معطر,سوز خوانی کی محفل نے روح کو معطر کر دیا
correct: وہ عید کے لیے نئے کپڑا لینے بازار گئی,وہ عید کے لیے نئے کپڑے لینے بازار گئی
correct: باہر گھر کے ہمارے نیم کا درخت ہے,ہمارے گھر کے باہر نیم کا درخت ہے
correct: چھوٹا بھائی کارٹون دیکھ رہے تھے,چھوٹا بھائی کارٹون دیکھ رہا تھا
correct: مینیجر نے سب کو ہدایت دیا تھا,مینیجر نے سب کو ہدایت دی تھی
correct: میں نے پڑھے نوٹس رات دیر تک,میں نے رات دیر تک نوٹس پڑھے
correct: فٹ بالر گول کیا نے خوبصورت,فٹ بالر نے خوبصورت گول کیا
correct: رات کو بجلی ہو گیا جانے کی وجہ سے پنکھا بند,رات کو بجلی جانے کی وجہ سے پنکھا بند ہو گیا
correct: آپ آپ کا خط موصول ہو گیا ہے,آپ کا خط موصول ہو گیا ہے
correct: طلبہ نے کیا پریزنٹیشن گروپ میں اچھی,طلبہ نے گروپ میں اچھی پریزنٹیشن کی
correct: چین نے کیا معاہدہ,چین نے معاہدہ کیا
correct: سائنسدان نے نیا تجربہ لیبارٹری کیا,سائنسدان نے لیبارٹری میں نیا تجربہ کیا
correct: عید کے موقع پر پر خصوصی ڈرامہ پیش کیا گیا,عید کے موقع پر خصوصی ڈرامہ پیش کیا گیا
correct: میری دوست کراچی سے آئ ہے,میری دوست کراچی سے آئی ہے
correct: امریکہ نے کیا اعلان,امریکہ نے اعلان کیا
correct: ڈین آفس نے طلبہ کو حتمی حتمی نتائج سے آگاہ کر دیا,ڈین آفس نے طلبہ کو حتمی نتائج سے آگاہ کر دیا
correct: شیک کا آمد پینے میں بہت لذیذ تھا,آمد کا شیک پینے میں بہت لذیذ تھا
correct: دکاندار نے نے کپڑے کی قیمت بتائی,دکاندار نے کپڑے کی قیمت بتائی
correct: اولمپکس میں کارکردگی نے شاندار کھلاڑیوں دکھائی,اولمپکس میں کھلاڑیوں نے شاندار کارکردگی دکھائی
correct: ہم نے تھیٹر میں ایک ایک مزاحیہ اور دلکش اسٹیج ڈراما دیکھا,ہم نے تھیٹر میں ایک مزاحیہ اور دلکش اسٹیج ڈراما دیکھا
correct: درخواست مینیجر نے قرضے کی بینک پر دستخط کر دیے,بینک مینیجر نے قرضے کی درخواست پر دستخط کر دیے
correct: وہ تھوڑی دوپہر کے بعد روزانہ دیر آرام کرتا ہے,وہ روزانہ دوپہر کے بعد تھوڑی دیر آرام کرتا ہے
correct: ہم نے فائل دفتر محفوظ کی,ہم نے فائل دفتر میں محفوظ کی
correct: شاعر نے نظم جذباتی انداز میں پیش کیا,شاعر نے نظم کو جذباتی انداز میں پیش کیا
correct: فٹ بالر نے گول کیا خوبصورت,فٹ بالر نے خوبصورت گول کیا
correct: تھیٹر کمپنی نے کیا ٹور پاکستان بھر میں,تھیٹر کمپنی نے پاکستان بھر میں ٹور کیا
correct: وہ رویا خوب جدائی پر دوست کی,وہ دوست کی جدائی پر خوب رویا
correct: شاعر نے پڑھی اپنی نئی غزل سامعین کے سامنے,شاعر نے سامعین کے سامنے اپنی نئی غزل پڑھی
correct: استاد نے دی مثالیں آسان کلاس میں,استاد نے کلاس میں آسان مثالیں دیں
correct: آج کا اخبار میز پر رکھی ہوئی ہے,آج کا اخبار میز پر رکھا ہوا ہے
correct: وادی کیہلاش کی ثقافت بہت منفرد اور دلچسپ تھی,وادی کیلاش کی ثقافت بہت منفرد اور دلچسپ تھی
correct: سیاح پہاڑ چڑھ کر تھک گئے خوش,سیاح پہاڑ پر چڑھ کر بہت خوش اور تھک گئے
correct: پروفیسر نے طلبہ کے سوالات کے جوابات دیے تسلی بخش,پروفیسر نے طلبہ کے سوالات کے تسلی بخش جوابات دیے
correct: سر میں نے کل آپ کو ای میل بھیجی تھی لیکن مجھے اس کا جواب ابھی تک موصول نہیں ہوا ہے,سر، میں نے کل آپ کو ای میل بھیجی تھی لیکن ابھی تک اس کا جواب موصول نہیں ہوا
correct: ہم نے گروپ پراجیکٹ بنایا تھا اور سب نے اس میں حصہ لیا تھا اچھے طریقے سے,ہم نے گروپ پراجیکٹ بنایا اور سب نے اچھے طریقے سے حصہ لیا
correct: میں نے لیا آرام پورے دن بیماری کے بعد,میں نے بیماری کے بعد پورے دن آرام لیا
correct: کمپنی نے اس سال کا کر لیا بجٹ منظور,کمپنی نے اس سال کا بجٹ منظور کر لیا
correct: ناول کی کہانی نے چھو لیا دل,ناول کی کہانی نے دل چھو لیا
correct: یہ فلم بہت بہت زیادہ بصری اور کہانی کے لحاظ سے مضبوط اور شاندار ہے,یہ فلم بصری اور کہانی کے لحاظ سے مضبوط اور شاندار ہے
correct: محکمہ موسمیات نے آئندہ چوبیس گھنٹوں میں بارش کی پیشگوئی کیا,محکمہ موسمیات نے آئندہ چوبیس گھنٹوں میں بارش کی پیشگوئی کی
correct: رقاص نے مظاہرہ کیا بھنگڑے کا شاندار,رقاص نے بھنگڑے کا شاندار مظاہرہ کیا
correct: ہم نے دفتر اہم میٹنگ اٹینڈ کی,ہم نے دفتر میں اہم میٹنگ اٹینڈ کی
correct: میں نے سالن کھایا جو بہت مصالحے دار تھا اور گرم,میں نے گرم اور مصالحے دار سالن کھایا
correct: مینیجر نے نے پروجیکٹ چیک کیا,مینیجر نے پروجیکٹ چیک کیا
correct: ٹیم نے مسئلہ حل کیا جلدی,ٹیم نے مسئلہ جلدی حل کیا
correct: کمپنی نے سالانہ کر میٹنگ کا اعلان جائزہ دیا,کمپنی نے سالانہ جائزہ میٹنگ کا اعلان کر دیا
correct: ہو گیا زخمی کھلاڑی ٹکر لگنے سے,کھلاڑی ٹکر لگنے سے زخمی ہو گیا
correct: وہ صبح ناشتے میں پراٹھا لیتا ہے اور چائے,وہ صبح ناشتے میں پراٹھا اور چائے لیتا ہے
correct: کھلاڑی سخت ٹریننگ کے بعد آرام کر رہا تھا تاکہ اگلے میچ کے لیے تیار رہے,کھلاڑی سخت ٹریننگ کے بعد آرام کر رہا تھا
correct: کالج میں سالانہ کھیلوں کے مقابلے کیے گئے منعقد,کالج میں سالانہ کھیلوں کے مقابلے منعقد کیے گئے
correct: اس کمپنی کی مصنوعات بہت کوالٹی کی اچھی ہے,اس کمپنی کی مصنوعات کی کوالٹی بہت اچھی ہے
correct: ہم نے میٹھے میں گلاب جامن کھائے,ہم نے گلاب جامن میٹھے میں کھائے
correct: میرے پاس موبائل میں بہت محفوظ ہیں سی تصاویر,میرے پاس موبائل میں بہت سی تصاویر محفوظ ہیں
correct: دروازے کی گھنٹی بجی تو نے کھولا,دروازے کی گھنٹی بجی تو میں نے کھولا
correct: ڈاکٹر نے مریض دیکھا تھا,ڈاکٹر نے مریض کو دیکھا تھا
correct: یہ فلم بہت زیادہ حد سے زیادہ بصری اثرات رکھتی ہے,یہ فلم بصری اثرات رکھتی ہے
correct: دکان پر خصوصی ڈسکاؤنٹ جاری ہے کی پیشکش,دکان پر خصوصی ڈسکاؤنٹ کی پیشکش جاری ہے
correct: ہم نے گروپ ڈسکشن کی اور کی,ہم نے گروپ ڈسکشن کی
correct: مچھلی فرائی کرنے سے پہلے مسالے لگائے,مچھلی کو فرائی کرنے سے پہلے مسالے لگائے
correct: ہم گئے بازار اور خریداری کیا,ہم بازار گئے اور خریداری کی
correct: کالج میں منعقد کھیلوں کے مقابلے سالانہ کیے گئے,کالج میں سالانہ کھیلوں کے مقابلے منعقد کیے گئے
correct: مزاحیہ ڈرامہ دیکھ دیکھ کر سامعین قہقہے لگا رہے تھے,مزاحیہ ڈرامہ دیکھ کر سامعین قہقہے لگا رہے تھے
correct: جمناسٹک میں اس طلائی تمغہ جیتا,جمناسٹک میں اس نے طلائی تمغہ جیتا
correct: سیاحوں نے پہاڑ کی چوٹی پر چڑھ کر بہت زیادہ خوبصورت تصویر لی,سیاحوں نے پہاڑ کی چوٹی پر خوبصورت تصویر لی
correct: کھلاڑی روزانہ سخت پریکٹس کرتا ہے تاکہ وہ بہتر پرفارمنس دے سکے,کھلاڑی روزانہ سخت پریکٹس کرتا ہے
correct: وہ وہ کل کل بہت دیر سے آیا تھا,وہ کل بہت دیر سے آیا تھا
correct: میں نے آج بہت کام کیا دفتر میں,میں نے آج دفتر میں بہت کام کیا
correct: وہ صبح مسجد سے واپس آ کر کر قرآن پڑھتا ہے,وہ صبح مسجد سے واپس آ کر قرآن پڑھتا ہے
correct: ہم نے ڈاکٹر سے مشورہ لیا تھا کل,ہم نے کل ڈاکٹر سے مشورہ لیا
correct: طلبہ نے سائنس فیئر میں مختلف پراجیکٹس پیش کیہے,طلبہ نے سائنس فیئر میں مختلف پراجیکٹس پیش کیے
correct: دادی اماں نے ہمیں ہمیں پرانی کہانی سنائی,دادی اماں نے ہمیں پرانی کہانی سنائی
correct: مچھلی کو فرائی کرنے سے پہلے پہلے مسالے لگائے,مچھلی کو فرائی کرنے سے پہلے مسالے لگائے
correct: طلبہ نے نے کلاس میں توجہ سے لیکچر سنا,طلبہ نے کلاس میں توجہ سے لیکچر سنا
correct: ہم نے ڈیٹا شیئر کیا ٹیم ساتھ,ہم نے ٹیم کے ساتھ ڈیٹا شیئر کیا
correct: طلبہ نے سائنس فیئر میں میں مختلف پراجیکٹس پیش کیے,طلبہ نے سائنس فیئر میں مختلف پراجیکٹس پیش کیے
correct: شہر پانچ ٹریفک حادثے میں میں افراد زخمی ہو گئے,شہر میں ٹریفک حادثے میں پانچ افراد زخمی ہو گئے
